model,problems,correct,attempts,condition,mode,level,type,threshold
gemma2-2b,500,63,1.0,baseline,greedy,all,all,0.0
gemma2-2b,500,51,1.0,openmath,greedy,all,all,0.0
gemma2-2b,43,20,1.0,baseline,greedy,1,all,0.0
gemma2-2b,43,12,1.0,openmath,greedy,1,all,0.0
gemma2-2b,90,23,1.0,baseline,greedy,2,all,0.0
gemma2-2b,90,22,1.0,openmath,greedy,2,all,0.0
gemma2-2b,105,12,1.0,baseline,greedy,3,all,0.0
gemma2-2b,105,8,1.0,openmath,greedy,3,all,0.0
gemma2-2b,128,6,1.0,baseline,greedy,4,all,0.0
gemma2-2b,128,6,1.0,openmath,greedy,4,all,0.0
gemma2-2b,134,2,1.0,baseline,greedy,5,all,0.0
gemma2-2b,134,3,1.0,openmath,greedy,5,all,0.0
gemma2-2b,124,26,1.0,baseline,greedy,all,algebra,0.0
gemma2-2b,124,22,1.0,openmath,greedy,all,algebra,0.0
gemma2-2b,38,1,1.0,baseline,greedy,all,counting_&_probability,0.0
gemma2-2b,38,1,1.0,openmath,greedy,all,counting_&_probability,0.0
gemma2-2b,41,0,1.0,baseline,greedy,all,geometry,0.0
gemma2-2b,41,1,1.0,openmath,greedy,all,geometry,0.0
gemma2-2b,97,5,1.0,baseline,greedy,all,intermediate_algebra,0.0
gemma2-2b,97,2,1.0,openmath,greedy,all,intermediate_algebra,0.0
gemma2-2b,62,12,1.0,baseline,greedy,all,number_theory,0.0
gemma2-2b,62,8,1.0,openmath,greedy,all,number_theory,0.0
gemma2-2b,82,14,1.0,baseline,greedy,all,prealgebra,0.0
gemma2-2b,82,13,1.0,openmath,greedy,all,prealgebra,0.0
gemma2-2b,56,5,1.0,baseline,greedy,all,precalculus,0.0
gemma2-2b,56,4,1.0,openmath,greedy,all,precalculus,0.0
gemma2-2b,201,33,1.0,baseline,greedy,all,all,0.1
gemma2-2b,201,26,1.0,openmath,greedy,all,all,0.1
gemma2-2b,19,12,1.0,baseline,greedy,1,all,0.1
gemma2-2b,19,8,1.0,openmath,greedy,1,all,0.1
gemma2-2b,39,9,1.0,baseline,greedy,2,all,0.1
gemma2-2b,39,8,1.0,openmath,greedy,2,all,0.1
gemma2-2b,52,8,1.0,baseline,greedy,3,all,0.1
gemma2-2b,52,4,1.0,openmath,greedy,3,all,0.1
gemma2-2b,43,3,1.0,baseline,greedy,4,all,0.1
gemma2-2b,43,4,1.0,openmath,greedy,4,all,0.1
gemma2-2b,48,1,1.0,baseline,greedy,5,all,0.1
gemma2-2b,48,2,1.0,openmath,greedy,5,all,0.1
gemma2-2b,52,16,1.0,baseline,greedy,all,algebra,0.1
gemma2-2b,52,15,1.0,openmath,greedy,all,algebra,0.1
gemma2-2b,19,1,1.0,baseline,greedy,all,counting_&_probability,0.1
gemma2-2b,19,1,1.0,openmath,greedy,all,counting_&_probability,0.1
gemma2-2b,15,0,1.0,baseline,greedy,all,geometry,0.1
gemma2-2b,15,1,1.0,openmath,greedy,all,geometry,0.1
gemma2-2b,32,4,1.0,baseline,greedy,all,intermediate_algebra,0.1
gemma2-2b,32,1,1.0,openmath,greedy,all,intermediate_algebra,0.1
gemma2-2b,24,4,1.0,baseline,greedy,all,number_theory,0.1
gemma2-2b,24,2,1.0,openmath,greedy,all,number_theory,0.1
gemma2-2b,28,6,1.0,baseline,greedy,all,prealgebra,0.1
gemma2-2b,28,3,1.0,openmath,greedy,all,prealgebra,0.1
gemma2-2b,31,2,1.0,baseline,greedy,all,precalculus,0.1
gemma2-2b,31,3,1.0,openmath,greedy,all,precalculus,0.1
gemma2-2b,171,27,1.0,baseline,greedy,all,all,0.2
gemma2-2b,171,21,1.0,openmath,greedy,all,all,0.2
gemma2-2b,16,10,1.0,baseline,greedy,1,all,0.2
gemma2-2b,16,7,1.0,openmath,greedy,1,all,0.2
gemma2-2b,32,6,1.0,baseline,greedy,2,all,0.2
gemma2-2b,32,5,1.0,openmath,greedy,2,all,0.2
gemma2-2b,40,7,1.0,baseline,greedy,3,all,0.2
gemma2-2b,40,3,1.0,openmath,greedy,3,all,0.2
gemma2-2b,38,3,1.0,baseline,greedy,4,all,0.2
gemma2-2b,38,4,1.0,openmath,greedy,4,all,0.2
gemma2-2b,45,1,1.0,baseline,greedy,5,all,0.2
gemma2-2b,45,2,1.0,openmath,greedy,5,all,0.2
gemma2-2b,44,13,1.0,baseline,greedy,all,algebra,0.2
gemma2-2b,44,12,1.0,openmath,greedy,all,algebra,0.2
gemma2-2b,16,1,1.0,baseline,greedy,all,counting_&_probability,0.2
gemma2-2b,16,1,1.0,openmath,greedy,all,counting_&_probability,0.2
gemma2-2b,14,0,1.0,baseline,greedy,all,geometry,0.2
gemma2-2b,14,0,1.0,openmath,greedy,all,geometry,0.2
gemma2-2b,29,3,1.0,baseline,greedy,all,intermediate_algebra,0.2
gemma2-2b,29,1,1.0,openmath,greedy,all,intermediate_algebra,0.2
gemma2-2b,19,3,1.0,baseline,greedy,all,number_theory,0.2
gemma2-2b,19,2,1.0,openmath,greedy,all,number_theory,0.2
gemma2-2b,23,5,1.0,baseline,greedy,all,prealgebra,0.2
gemma2-2b,23,2,1.0,openmath,greedy,all,prealgebra,0.2
gemma2-2b,26,2,1.0,baseline,greedy,all,precalculus,0.2
gemma2-2b,26,3,1.0,openmath,greedy,all,precalculus,0.2
gemma2-2b,151,27,1.0,baseline,greedy,all,all,0.3
gemma2-2b,151,20,1.0,openmath,greedy,all,all,0.3
gemma2-2b,14,10,1.0,baseline,greedy,1,all,0.3
gemma2-2b,14,7,1.0,openmath,greedy,1,all,0.3
gemma2-2b,28,6,1.0,baseline,greedy,2,all,0.3
gemma2-2b,28,5,1.0,openmath,greedy,2,all,0.3
gemma2-2b,37,7,1.0,baseline,greedy,3,all,0.3
gemma2-2b,37,3,1.0,openmath,greedy,3,all,0.3
gemma2-2b,33,3,1.0,baseline,greedy,4,all,0.3
gemma2-2b,33,3,1.0,openmath,greedy,4,all,0.3
gemma2-2b,39,1,1.0,baseline,greedy,5,all,0.3
gemma2-2b,39,2,1.0,openmath,greedy,5,all,0.3
gemma2-2b,39,13,1.0,baseline,greedy,all,algebra,0.3
gemma2-2b,39,11,1.0,openmath,greedy,all,algebra,0.3
gemma2-2b,14,1,1.0,baseline,greedy,all,counting_&_probability,0.3
gemma2-2b,14,1,1.0,openmath,greedy,all,counting_&_probability,0.3
gemma2-2b,12,0,1.0,baseline,greedy,all,geometry,0.3
gemma2-2b,12,0,1.0,openmath,greedy,all,geometry,0.3
gemma2-2b,22,3,1.0,baseline,greedy,all,intermediate_algebra,0.3
gemma2-2b,22,1,1.0,openmath,greedy,all,intermediate_algebra,0.3
gemma2-2b,18,3,1.0,baseline,greedy,all,number_theory,0.3
gemma2-2b,18,2,1.0,openmath,greedy,all,number_theory,0.3
gemma2-2b,22,5,1.0,baseline,greedy,all,prealgebra,0.3
gemma2-2b,22,2,1.0,openmath,greedy,all,prealgebra,0.3
gemma2-2b,24,2,1.0,baseline,greedy,all,precalculus,0.3
gemma2-2b,24,3,1.0,openmath,greedy,all,precalculus,0.3
gemma2-2b,134,26,1.0,baseline,greedy,all,all,0.4
gemma2-2b,134,18,1.0,openmath,greedy,all,all,0.4
gemma2-2b,14,10,1.0,baseline,greedy,1,all,0.4
gemma2-2b,14,7,1.0,openmath,greedy,1,all,0.4
gemma2-2b,25,5,1.0,baseline,greedy,2,all,0.4
gemma2-2b,25,4,1.0,openmath,greedy,2,all,0.4
gemma2-2b,33,7,1.0,baseline,greedy,3,all,0.4
gemma2-2b,33,2,1.0,openmath,greedy,3,all,0.4
gemma2-2b,27,3,1.0,baseline,greedy,4,all,0.4
gemma2-2b,27,3,1.0,openmath,greedy,4,all,0.4
gemma2-2b,35,1,1.0,baseline,greedy,5,all,0.4
gemma2-2b,35,2,1.0,openmath,greedy,5,all,0.4
gemma2-2b,33,13,1.0,baseline,greedy,all,algebra,0.4
gemma2-2b,33,10,1.0,openmath,greedy,all,algebra,0.4
gemma2-2b,11,1,1.0,baseline,greedy,all,counting_&_probability,0.4
gemma2-2b,11,1,1.0,openmath,greedy,all,counting_&_probability,0.4
gemma2-2b,10,0,1.0,baseline,greedy,all,geometry,0.4
gemma2-2b,10,0,1.0,openmath,greedy,all,geometry,0.4
gemma2-2b,20,3,1.0,baseline,greedy,all,intermediate_algebra,0.4
gemma2-2b,20,1,1.0,openmath,greedy,all,intermediate_algebra,0.4
gemma2-2b,18,3,1.0,baseline,greedy,all,number_theory,0.4
gemma2-2b,18,2,1.0,openmath,greedy,all,number_theory,0.4
gemma2-2b,21,4,1.0,baseline,greedy,all,prealgebra,0.4
gemma2-2b,21,1,1.0,openmath,greedy,all,prealgebra,0.4
gemma2-2b,21,2,1.0,baseline,greedy,all,precalculus,0.4
gemma2-2b,21,3,1.0,openmath,greedy,all,precalculus,0.4
gemma2-2b,121,22,1.0,baseline,greedy,all,all,0.5
gemma2-2b,121,16,1.0,openmath,greedy,all,all,0.5
gemma2-2b,14,10,1.0,baseline,greedy,1,all,0.5
gemma2-2b,14,7,1.0,openmath,greedy,1,all,0.5
gemma2-2b,22,4,1.0,baseline,greedy,2,all,0.5
gemma2-2b,22,3,1.0,openmath,greedy,2,all,0.5
gemma2-2b,31,6,1.0,baseline,greedy,3,all,0.5
gemma2-2b,31,2,1.0,openmath,greedy,3,all,0.5
gemma2-2b,24,2,1.0,baseline,greedy,4,all,0.5
gemma2-2b,24,3,1.0,openmath,greedy,4,all,0.5
gemma2-2b,30,0,1.0,baseline,greedy,5,all,0.5
gemma2-2b,30,1,1.0,openmath,greedy,5,all,0.5
gemma2-2b,28,10,1.0,baseline,greedy,all,algebra,0.5
gemma2-2b,28,8,1.0,openmath,greedy,all,algebra,0.5
gemma2-2b,10,1,1.0,baseline,greedy,all,counting_&_probability,0.5
gemma2-2b,10,1,1.0,openmath,greedy,all,counting_&_probability,0.5
gemma2-2b,6,0,1.0,baseline,greedy,all,geometry,0.5
gemma2-2b,6,0,1.0,openmath,greedy,all,geometry,0.5
gemma2-2b,20,3,1.0,baseline,greedy,all,intermediate_algebra,0.5
gemma2-2b,20,1,1.0,openmath,greedy,all,intermediate_algebra,0.5
gemma2-2b,17,2,1.0,baseline,greedy,all,number_theory,0.5
gemma2-2b,17,2,1.0,openmath,greedy,all,number_theory,0.5
gemma2-2b,19,4,1.0,baseline,greedy,all,prealgebra,0.5
gemma2-2b,19,1,1.0,openmath,greedy,all,prealgebra,0.5
gemma2-2b,21,2,1.0,baseline,greedy,all,precalculus,0.5
gemma2-2b,21,3,1.0,openmath,greedy,all,precalculus,0.5
gemma2-2b,115,22,1.0,baseline,greedy,all,all,0.6
gemma2-2b,115,15,1.0,openmath,greedy,all,all,0.6
gemma2-2b,13,10,1.0,baseline,greedy,1,all,0.6
gemma2-2b,13,6,1.0,openmath,greedy,1,all,0.6
gemma2-2b,21,4,1.0,baseline,greedy,2,all,0.6
gemma2-2b,21,3,1.0,openmath,greedy,2,all,0.6
gemma2-2b,30,6,1.0,baseline,greedy,3,all,0.6
gemma2-2b,30,2,1.0,openmath,greedy,3,all,0.6
gemma2-2b,23,2,1.0,baseline,greedy,4,all,0.6
gemma2-2b,23,3,1.0,openmath,greedy,4,all,0.6
gemma2-2b,28,0,1.0,baseline,greedy,5,all,0.6
gemma2-2b,28,1,1.0,openmath,greedy,5,all,0.6
gemma2-2b,27,10,1.0,baseline,greedy,all,algebra,0.6
gemma2-2b,27,8,1.0,openmath,greedy,all,algebra,0.6
gemma2-2b,9,1,1.0,baseline,greedy,all,counting_&_probability,0.6
gemma2-2b,9,0,1.0,openmath,greedy,all,counting_&_probability,0.6
gemma2-2b,5,0,1.0,baseline,greedy,all,geometry,0.6
gemma2-2b,5,0,1.0,openmath,greedy,all,geometry,0.6
gemma2-2b,19,3,1.0,baseline,greedy,all,intermediate_algebra,0.6
gemma2-2b,19,1,1.0,openmath,greedy,all,intermediate_algebra,0.6
gemma2-2b,16,2,1.0,baseline,greedy,all,number_theory,0.6
gemma2-2b,16,2,1.0,openmath,greedy,all,number_theory,0.6
gemma2-2b,19,4,1.0,baseline,greedy,all,prealgebra,0.6
gemma2-2b,19,1,1.0,openmath,greedy,all,prealgebra,0.6
gemma2-2b,20,2,1.0,baseline,greedy,all,precalculus,0.6
gemma2-2b,20,3,1.0,openmath,greedy,all,precalculus,0.6
gemma2-2b,105,22,1.0,baseline,greedy,all,all,0.7
gemma2-2b,105,14,1.0,openmath,greedy,all,all,0.7
gemma2-2b,13,10,1.0,baseline,greedy,1,all,0.7
gemma2-2b,13,6,1.0,openmath,greedy,1,all,0.7
gemma2-2b,19,4,1.0,baseline,greedy,2,all,0.7
gemma2-2b,19,3,1.0,openmath,greedy,2,all,0.7
gemma2-2b,25,6,1.0,baseline,greedy,3,all,0.7
gemma2-2b,25,2,1.0,openmath,greedy,3,all,0.7
gemma2-2b,22,2,1.0,baseline,greedy,4,all,0.7
gemma2-2b,22,2,1.0,openmath,greedy,4,all,0.7
gemma2-2b,26,0,1.0,baseline,greedy,5,all,0.7
gemma2-2b,26,1,1.0,openmath,greedy,5,all,0.7
gemma2-2b,24,10,1.0,baseline,greedy,all,algebra,0.7
gemma2-2b,24,8,1.0,openmath,greedy,all,algebra,0.7
gemma2-2b,9,1,1.0,baseline,greedy,all,counting_&_probability,0.7
gemma2-2b,9,0,1.0,openmath,greedy,all,counting_&_probability,0.7
gemma2-2b,4,0,1.0,baseline,greedy,all,geometry,0.7
gemma2-2b,4,0,1.0,openmath,greedy,all,geometry,0.7
gemma2-2b,17,3,1.0,baseline,greedy,all,intermediate_algebra,0.7
gemma2-2b,17,1,1.0,openmath,greedy,all,intermediate_algebra,0.7
gemma2-2b,15,2,1.0,baseline,greedy,all,number_theory,0.7
gemma2-2b,15,1,1.0,openmath,greedy,all,number_theory,0.7
gemma2-2b,18,4,1.0,baseline,greedy,all,prealgebra,0.7
gemma2-2b,18,1,1.0,openmath,greedy,all,prealgebra,0.7
gemma2-2b,18,2,1.0,baseline,greedy,all,precalculus,0.7
gemma2-2b,18,3,1.0,openmath,greedy,all,precalculus,0.7
gemma2-2b,89,20,1.0,baseline,greedy,all,all,0.8
gemma2-2b,89,13,1.0,openmath,greedy,all,all,0.8
gemma2-2b,11,8,1.0,baseline,greedy,1,all,0.8
gemma2-2b,11,5,1.0,openmath,greedy,1,all,0.8
gemma2-2b,18,4,1.0,baseline,greedy,2,all,0.8
gemma2-2b,18,3,1.0,openmath,greedy,2,all,0.8
gemma2-2b,22,6,1.0,baseline,greedy,3,all,0.8
gemma2-2b,22,2,1.0,openmath,greedy,3,all,0.8
gemma2-2b,19,2,1.0,baseline,greedy,4,all,0.8
gemma2-2b,19,2,1.0,openmath,greedy,4,all,0.8
gemma2-2b,19,0,1.0,baseline,greedy,5,all,0.8
gemma2-2b,19,1,1.0,openmath,greedy,5,all,0.8
gemma2-2b,19,9,1.0,baseline,greedy,all,algebra,0.8
gemma2-2b,19,8,1.0,openmath,greedy,all,algebra,0.8
gemma2-2b,9,1,1.0,baseline,greedy,all,counting_&_probability,0.8
gemma2-2b,9,0,1.0,openmath,greedy,all,counting_&_probability,0.8
gemma2-2b,4,0,1.0,baseline,greedy,all,geometry,0.8
gemma2-2b,4,0,1.0,openmath,greedy,all,geometry,0.8
gemma2-2b,15,2,1.0,baseline,greedy,all,intermediate_algebra,0.8
gemma2-2b,15,0,1.0,openmath,greedy,all,intermediate_algebra,0.8
gemma2-2b,12,2,1.0,baseline,greedy,all,number_theory,0.8
gemma2-2b,12,1,1.0,openmath,greedy,all,number_theory,0.8
gemma2-2b,16,4,1.0,baseline,greedy,all,prealgebra,0.8
gemma2-2b,16,1,1.0,openmath,greedy,all,prealgebra,0.8
gemma2-2b,14,2,1.0,baseline,greedy,all,precalculus,0.8
gemma2-2b,14,3,1.0,openmath,greedy,all,precalculus,0.8
gemma2-2b,75,14,1.0,baseline,greedy,all,all,0.9
gemma2-2b,75,10,1.0,openmath,greedy,all,all,0.9
gemma2-2b,8,5,1.0,baseline,greedy,1,all,0.9
gemma2-2b,8,3,1.0,openmath,greedy,1,all,0.9
gemma2-2b,16,2,1.0,baseline,greedy,2,all,0.9
gemma2-2b,16,3,1.0,openmath,greedy,2,all,0.9
gemma2-2b,19,5,1.0,baseline,greedy,3,all,0.9
gemma2-2b,19,2,1.0,openmath,greedy,3,all,0.9
gemma2-2b,18,2,1.0,baseline,greedy,4,all,0.9
gemma2-2b,18,2,1.0,openmath,greedy,4,all,0.9
gemma2-2b,14,0,1.0,baseline,greedy,5,all,0.9
gemma2-2b,14,0,1.0,openmath,greedy,5,all,0.9
gemma2-2b,15,6,1.0,baseline,greedy,all,algebra,0.9
gemma2-2b,15,5,1.0,openmath,greedy,all,algebra,0.9
gemma2-2b,9,1,1.0,baseline,greedy,all,counting_&_probability,0.9
gemma2-2b,9,0,1.0,openmath,greedy,all,counting_&_probability,0.9
gemma2-2b,3,0,1.0,baseline,greedy,all,geometry,0.9
gemma2-2b,3,0,1.0,openmath,greedy,all,geometry,0.9
gemma2-2b,15,2,1.0,baseline,greedy,all,intermediate_algebra,0.9
gemma2-2b,15,0,1.0,openmath,greedy,all,intermediate_algebra,0.9
gemma2-2b,9,2,1.0,baseline,greedy,all,number_theory,0.9
gemma2-2b,9,1,1.0,openmath,greedy,all,number_theory,0.9
gemma2-2b,13,2,1.0,baseline,greedy,all,prealgebra,0.9
gemma2-2b,13,1,1.0,openmath,greedy,all,prealgebra,0.9
gemma2-2b,11,1,1.0,baseline,greedy,all,precalculus,0.9
gemma2-2b,11,3,1.0,openmath,greedy,all,precalculus,0.9
gemma2-2b,500,116,4.34,baseline,best-of-n,all,all,0.0
gemma2-2b,500,124,4.28,openmath,best-of-n,all,all,0.0
gemma2-2b,43,22,3.33,baseline,best-of-n,1,all,0.0
gemma2-2b,43,23,3.16,openmath,best-of-n,1,all,0.0
gemma2-2b,90,37,3.79,baseline,best-of-n,2,all,0.0
gemma2-2b,90,40,3.64,openmath,best-of-n,2,all,0.0
gemma2-2b,105,33,4.13,baseline,best-of-n,3,all,0.0
gemma2-2b,105,34,4.08,openmath,best-of-n,3,all,0.0
gemma2-2b,128,16,4.67,baseline,best-of-n,4,all,0.0
gemma2-2b,128,21,4.6,openmath,best-of-n,4,all,0.0
gemma2-2b,134,8,4.87,baseline,best-of-n,5,all,0.0
gemma2-2b,134,6,4.91,openmath,best-of-n,5,all,0.0
gemma2-2b,124,39,4.04,baseline,best-of-n,all,algebra,0.0
gemma2-2b,124,52,3.7,openmath,best-of-n,all,algebra,0.0
gemma2-2b,38,7,4.58,baseline,best-of-n,all,counting_&_probability,0.0
gemma2-2b,38,6,4.58,openmath,best-of-n,all,counting_&_probability,0.0
gemma2-2b,41,7,4.68,baseline,best-of-n,all,geometry,0.0
gemma2-2b,41,5,4.66,openmath,best-of-n,all,geometry,0.0
gemma2-2b,97,8,4.8,baseline,best-of-n,all,intermediate_algebra,0.0
gemma2-2b,97,6,4.86,openmath,best-of-n,all,intermediate_algebra,0.0
gemma2-2b,62,21,4.03,baseline,best-of-n,all,number_theory,0.0
gemma2-2b,62,21,4.0,openmath,best-of-n,all,number_theory,0.0
gemma2-2b,82,29,3.89,baseline,best-of-n,all,prealgebra,0.0
gemma2-2b,82,28,4.06,openmath,best-of-n,all,prealgebra,0.0
gemma2-2b,56,5,4.77,baseline,best-of-n,all,precalculus,0.0
gemma2-2b,56,6,4.7,openmath,best-of-n,all,precalculus,0.0
gemma2-2b,201,59,4.17,baseline,best-of-n,all,all,0.1
gemma2-2b,201,65,4.03,openmath,best-of-n,all,all,0.1
gemma2-2b,19,12,2.79,baseline,best-of-n,1,all,0.1
gemma2-2b,19,11,2.95,openmath,best-of-n,1,all,0.1
gemma2-2b,39,15,4.03,baseline,best-of-n,2,all,0.1
gemma2-2b,39,17,3.64,openmath,best-of-n,2,all,0.1
gemma2-2b,52,19,3.96,baseline,best-of-n,3,all,0.1
gemma2-2b,52,21,3.75,openmath,best-of-n,3,all,0.1
gemma2-2b,43,9,4.49,baseline,best-of-n,4,all,0.1
gemma2-2b,43,13,4.33,openmath,best-of-n,4,all,0.1
gemma2-2b,48,4,4.79,baseline,best-of-n,5,all,0.1
gemma2-2b,48,3,4.83,openmath,best-of-n,5,all,0.1
gemma2-2b,52,21,3.63,baseline,best-of-n,all,algebra,0.1
gemma2-2b,52,29,3.19,openmath,best-of-n,all,algebra,0.1
gemma2-2b,19,5,4.37,baseline,best-of-n,all,counting_&_probability,0.1
gemma2-2b,19,6,4.16,openmath,best-of-n,all,counting_&_probability,0.1
gemma2-2b,15,4,4.67,baseline,best-of-n,all,geometry,0.1
gemma2-2b,15,1,4.73,openmath,best-of-n,all,geometry,0.1
gemma2-2b,32,4,4.62,baseline,best-of-n,all,intermediate_algebra,0.1
gemma2-2b,32,5,4.66,openmath,best-of-n,all,intermediate_algebra,0.1
gemma2-2b,24,13,3.75,baseline,best-of-n,all,number_theory,0.1
gemma2-2b,24,10,3.96,openmath,best-of-n,all,number_theory,0.1
gemma2-2b,28,11,3.86,baseline,best-of-n,all,prealgebra,0.1
gemma2-2b,28,11,3.82,openmath,best-of-n,all,prealgebra,0.1
gemma2-2b,31,1,4.87,baseline,best-of-n,all,precalculus,0.1
gemma2-2b,31,3,4.65,openmath,best-of-n,all,precalculus,0.1
gemma2-2b,171,44,4.26,baseline,best-of-n,all,all,0.2
gemma2-2b,171,53,4.1,openmath,best-of-n,all,all,0.2
gemma2-2b,16,9,2.94,baseline,best-of-n,1,all,0.2
gemma2-2b,16,9,3.0,openmath,best-of-n,1,all,0.2
gemma2-2b,32,10,4.16,baseline,best-of-n,2,all,0.2
gemma2-2b,32,12,3.88,openmath,best-of-n,2,all,0.2
gemma2-2b,40,13,4.12,baseline,best-of-n,3,all,0.2
gemma2-2b,40,17,3.75,openmath,best-of-n,3,all,0.2
gemma2-2b,38,8,4.42,baseline,best-of-n,4,all,0.2
gemma2-2b,38,12,4.26,openmath,best-of-n,4,all,0.2
gemma2-2b,45,4,4.78,baseline,best-of-n,5,all,0.2
gemma2-2b,45,3,4.82,openmath,best-of-n,5,all,0.2
gemma2-2b,44,15,3.86,baseline,best-of-n,all,algebra,0.2
gemma2-2b,44,23,3.34,openmath,best-of-n,all,algebra,0.2
gemma2-2b,16,4,4.25,baseline,best-of-n,all,counting_&_probability,0.2
gemma2-2b,16,5,4.25,openmath,best-of-n,all,counting_&_probability,0.2
gemma2-2b,14,3,4.79,baseline,best-of-n,all,geometry,0.2
gemma2-2b,14,1,4.71,openmath,best-of-n,all,geometry,0.2
gemma2-2b,29,3,4.62,baseline,best-of-n,all,intermediate_algebra,0.2
