model,problems,correct,attempts,condition,mode,level,type,threshold
gemma2-2b,29,4,4.72,openmath,best-of-n,all,intermediate_algebra,0.2
gemma2-2b,19,10,3.79,baseline,best-of-n,all,number_theory,0.2
gemma2-2b,19,8,4.05,openmath,best-of-n,all,number_theory,0.2
gemma2-2b,23,8,3.96,baseline,best-of-n,all,prealgebra,0.2
gemma2-2b,23,9,3.78,openmath,best-of-n,all,prealgebra,0.2
gemma2-2b,26,1,4.85,baseline,best-of-n,all,precalculus,0.2
gemma2-2b,26,3,4.58,openmath,best-of-n,all,precalculus,0.2
gemma2-2b,151,41,4.23,baseline,best-of-n,all,all,0.3
gemma2-2b,151,48,4.09,openmath,best-of-n,all,all,0.3
gemma2-2b,14,9,2.64,baseline,best-of-n,1,all,0.3
gemma2-2b,14,8,3.0,openmath,best-of-n,1,all,0.3
gemma2-2b,28,10,4.04,baseline,best-of-n,2,all,0.3
gemma2-2b,28,11,3.79,openmath,best-of-n,2,all,0.3
gemma2-2b,37,12,4.14,baseline,best-of-n,3,all,0.3
gemma2-2b,37,15,3.84,openmath,best-of-n,3,all,0.3
gemma2-2b,33,7,4.42,baseline,best-of-n,4,all,0.3
gemma2-2b,33,11,4.27,openmath,best-of-n,4,all,0.3
gemma2-2b,39,3,4.85,baseline,best-of-n,5,all,0.3
gemma2-2b,39,3,4.79,openmath,best-of-n,5,all,0.3
gemma2-2b,39,14,3.79,baseline,best-of-n,all,algebra,0.3
gemma2-2b,39,20,3.44,openmath,best-of-n,all,algebra,0.3
gemma2-2b,14,4,4.14,baseline,best-of-n,all,counting_&_probability,0.3
gemma2-2b,14,4,4.29,openmath,best-of-n,all,counting_&_probability,0.3
gemma2-2b,12,3,4.75,baseline,best-of-n,all,geometry,0.3
gemma2-2b,12,1,4.67,openmath,best-of-n,all,geometry,0.3
gemma2-2b,22,3,4.5,baseline,best-of-n,all,intermediate_algebra,0.3
gemma2-2b,22,4,4.64,openmath,best-of-n,all,intermediate_algebra,0.3
gemma2-2b,18,9,3.94,baseline,best-of-n,all,number_theory,0.3
gemma2-2b,18,8,4.0,openmath,best-of-n,all,number_theory,0.3
gemma2-2b,22,7,4.05,baseline,best-of-n,all,prealgebra,0.3
gemma2-2b,22,8,3.86,openmath,best-of-n,all,prealgebra,0.3
gemma2-2b,24,1,4.83,baseline,best-of-n,all,precalculus,0.3
gemma2-2b,24,3,4.54,openmath,best-of-n,all,precalculus,0.3
gemma2-2b,134,37,4.19,baseline,best-of-n,all,all,0.4
gemma2-2b,134,46,4.01,openmath,best-of-n,all,all,0.4
gemma2-2b,14,9,2.64,baseline,best-of-n,1,all,0.4
gemma2-2b,14,8,3.0,openmath,best-of-n,1,all,0.4
gemma2-2b,25,7,4.16,baseline,best-of-n,2,all,0.4
gemma2-2b,25,10,3.8,openmath,best-of-n,2,all,0.4
gemma2-2b,33,12,4.03,baseline,best-of-n,3,all,0.4
gemma2-2b,33,15,3.7,openmath,best-of-n,3,all,0.4
gemma2-2b,27,6,4.41,baseline,best-of-n,4,all,0.4
gemma2-2b,27,10,4.15,openmath,best-of-n,4,all,0.4
gemma2-2b,35,3,4.83,baseline,best-of-n,5,all,0.4
gemma2-2b,35,3,4.77,openmath,best-of-n,5,all,0.4
gemma2-2b,33,13,3.67,baseline,best-of-n,all,algebra,0.4
gemma2-2b,33,19,3.18,openmath,best-of-n,all,algebra,0.4
gemma2-2b,11,4,3.91,baseline,best-of-n,all,counting_&_probability,0.4
gemma2-2b,11,4,4.09,openmath,best-of-n,all,counting_&_probability,0.4
gemma2-2b,10,2,4.7,baseline,best-of-n,all,geometry,0.4
gemma2-2b,10,1,4.6,openmath,best-of-n,all,geometry,0.4
gemma2-2b,20,2,4.6,baseline,best-of-n,all,intermediate_algebra,0.4
gemma2-2b,20,4,4.6,openmath,best-of-n,all,intermediate_algebra,0.4
gemma2-2b,18,9,3.94,baseline,best-of-n,all,number_theory,0.4
gemma2-2b,18,8,4.0,openmath,best-of-n,all,number_theory,0.4
gemma2-2b,21,6,4.14,baseline,best-of-n,all,prealgebra,0.4
gemma2-2b,21,7,4.0,openmath,best-of-n,all,prealgebra,0.4
gemma2-2b,21,1,4.81,baseline,best-of-n,all,precalculus,0.4
gemma2-2b,21,3,4.48,openmath,best-of-n,all,precalculus,0.4
gemma2-2b,121,33,4.21,baseline,best-of-n,all,all,0.5
gemma2-2b,121,41,4.03,openmath,best-of-n,all,all,0.5
gemma2-2b,14,9,2.64,baseline,best-of-n,1,all,0.5
gemma2-2b,14,8,3.0,openmath,best-of-n,1,all,0.5
gemma2-2b,22,6,4.23,baseline,best-of-n,2,all,0.5
gemma2-2b,22,9,3.82,openmath,best-of-n,2,all,0.5
gemma2-2b,31,11,4.1,baseline,best-of-n,3,all,0.5
gemma2-2b,31,14,3.74,openmath,best-of-n,3,all,0.5
gemma2-2b,24,6,4.33,baseline,best-of-n,4,all,0.5
gemma2-2b,24,9,4.17,openmath,best-of-n,4,all,0.5
gemma2-2b,30,1,4.97,baseline,best-of-n,5,all,0.5
gemma2-2b,30,1,4.87,openmath,best-of-n,5,all,0.5
gemma2-2b,28,10,3.82,baseline,best-of-n,all,algebra,0.5
gemma2-2b,28,16,3.18,openmath,best-of-n,all,algebra,0.5
gemma2-2b,10,4,3.8,baseline,best-of-n,all,counting_&_probability,0.5
gemma2-2b,10,4,4.0,openmath,best-of-n,all,counting_&_probability,0.5
gemma2-2b,6,2,4.5,baseline,best-of-n,all,geometry,0.5
gemma2-2b,6,1,4.33,openmath,best-of-n,all,geometry,0.5
gemma2-2b,20,2,4.6,baseline,best-of-n,all,intermediate_algebra,0.5
gemma2-2b,20,4,4.6,openmath,best-of-n,all,intermediate_algebra,0.5
gemma2-2b,17,9,3.88,baseline,best-of-n,all,number_theory,0.5
gemma2-2b,17,7,4.12,openmath,best-of-n,all,number_theory,0.5
gemma2-2b,19,5,4.16,baseline,best-of-n,all,prealgebra,0.5
gemma2-2b,19,6,4.05,openmath,best-of-n,all,prealgebra,0.5
gemma2-2b,21,1,4.81,baseline,best-of-n,all,precalculus,0.5
gemma2-2b,21,3,4.48,openmath,best-of-n,all,precalculus,0.5
gemma2-2b,115,33,4.17,baseline,best-of-n,all,all,0.6
gemma2-2b,115,40,4.0,openmath,best-of-n,all,all,0.6
gemma2-2b,13,9,2.46,baseline,best-of-n,1,all,0.6
gemma2-2b,13,8,2.85,openmath,best-of-n,1,all,0.6
gemma2-2b,21,6,4.19,baseline,best-of-n,2,all,0.6
gemma2-2b,21,9,3.76,openmath,best-of-n,2,all,0.6
gemma2-2b,30,11,4.07,baseline,best-of-n,3,all,0.6
gemma2-2b,30,14,3.7,openmath,best-of-n,3,all,0.6
gemma2-2b,23,6,4.3,baseline,best-of-n,4,all,0.6
gemma2-2b,23,8,4.22,openmath,best-of-n,4,all,0.6
gemma2-2b,28,1,4.96,baseline,best-of-n,5,all,0.6
gemma2-2b,28,1,4.86,openmath,best-of-n,5,all,0.6
gemma2-2b,27,10,3.78,baseline,best-of-n,all,algebra,0.6
gemma2-2b,27,15,3.19,openmath,best-of-n,all,algebra,0.6
gemma2-2b,9,4,3.67,baseline,best-of-n,all,counting_&_probability,0.6
gemma2-2b,9,4,3.89,openmath,best-of-n,all,counting_&_probability,0.6
gemma2-2b,5,2,4.4,baseline,best-of-n,all,geometry,0.6
gemma2-2b,5,1,4.2,openmath,best-of-n,all,geometry,0.6
gemma2-2b,19,2,4.58,baseline,best-of-n,all,intermediate_algebra,0.6
gemma2-2b,19,4,4.58,openmath,best-of-n,all,intermediate_algebra,0.6
gemma2-2b,16,9,3.81,baseline,best-of-n,all,number_theory,0.6
gemma2-2b,16,7,4.06,openmath,best-of-n,all,number_theory,0.6
gemma2-2b,19,5,4.16,baseline,best-of-n,all,prealgebra,0.6
gemma2-2b,19,6,4.05,openmath,best-of-n,all,prealgebra,0.6
gemma2-2b,20,1,4.8,baseline,best-of-n,all,precalculus,0.6
gemma2-2b,20,3,4.45,openmath,best-of-n,all,precalculus,0.6
gemma2-2b,105,31,4.11,baseline,best-of-n,all,all,0.7
gemma2-2b,105,39,3.94,openmath,best-of-n,all,all,0.7
gemma2-2b,13,9,2.46,baseline,best-of-n,1,all,0.7
gemma2-2b,13,8,2.85,openmath,best-of-n,1,all,0.7
gemma2-2b,19,6,4.11,baseline,best-of-n,2,all,0.7
gemma2-2b,19,8,3.84,openmath,best-of-n,2,all,0.7
gemma2-2b,25,10,3.92,baseline,best-of-n,3,all,0.7
gemma2-2b,25,14,3.44,openmath,best-of-n,3,all,0.7
gemma2-2b,22,5,4.32,baseline,best-of-n,4,all,0.7
gemma2-2b,22,8,4.18,openmath,best-of-n,4,all,0.7
gemma2-2b,26,1,4.96,baseline,best-of-n,5,all,0.7
gemma2-2b,26,1,4.85,openmath,best-of-n,5,all,0.7
gemma2-2b,24,10,3.62,baseline,best-of-n,all,algebra,0.7
gemma2-2b,24,14,3.12,openmath,best-of-n,all,algebra,0.7
gemma2-2b,9,4,3.67,baseline,best-of-n,all,counting_&_probability,0.7
gemma2-2b,9,4,3.89,openmath,best-of-n,all,counting_&_probability,0.7
gemma2-2b,4,1,4.5,baseline,best-of-n,all,geometry,0.7
gemma2-2b,4,1,4.0,openmath,best-of-n,all,geometry,0.7
gemma2-2b,17,2,4.53,baseline,best-of-n,all,intermediate_algebra,0.7
gemma2-2b,17,4,4.53,openmath,best-of-n,all,intermediate_algebra,0.7
gemma2-2b,15,8,3.8,baseline,best-of-n,all,number_theory,0.7
gemma2-2b,15,7,4.0,openmath,best-of-n,all,number_theory,0.7
gemma2-2b,18,5,4.11,baseline,best-of-n,all,prealgebra,0.7
gemma2-2b,18,6,4.0,openmath,best-of-n,all,prealgebra,0.7
gemma2-2b,18,1,4.78,baseline,best-of-n,all,precalculus,0.7
gemma2-2b,18,3,4.39,openmath,best-of-n,all,precalculus,0.7
gemma2-2b,89,29,4.01,baseline,best-of-n,all,all,0.8
gemma2-2b,89,34,3.91,openmath,best-of-n,all,all,0.8
gemma2-2b,11,8,2.36,baseline,best-of-n,1,all,0.8
gemma2-2b,11,7,2.82,openmath,best-of-n,1,all,0.8
gemma2-2b,18,6,4.06,baseline,best-of-n,2,all,0.8
gemma2-2b,18,8,3.78,openmath,best-of-n,2,all,0.8
gemma2-2b,22,10,3.77,baseline,best-of-n,3,all,0.8
gemma2-2b,22,12,3.32,openmath,best-of-n,3,all,0.8
gemma2-2b,19,5,4.21,baseline,best-of-n,4,all,0.8
gemma2-2b,19,7,4.26,openmath,best-of-n,4,all,0.8
gemma2-2b,19,0,5.0,baseline,best-of-n,5,all,0.8
gemma2-2b,19,0,5.0,openmath,best-of-n,5,all,0.8
gemma2-2b,19,10,3.26,baseline,best-of-n,all,algebra,0.8
gemma2-2b,19,11,2.95,openmath,best-of-n,all,algebra,0.8
gemma2-2b,9,4,3.67,baseline,best-of-n,all,counting_&_probability,0.8
gemma2-2b,9,4,3.89,openmath,best-of-n,all,counting_&_probability,0.8
gemma2-2b,4,1,4.5,baseline,best-of-n,all,geometry,0.8
gemma2-2b,4,1,4.0,openmath,best-of-n,all,geometry,0.8
gemma2-2b,15,1,4.73,baseline,best-of-n,all,intermediate_algebra,0.8
gemma2-2b,15,3,4.73,openmath,best-of-n,all,intermediate_algebra,0.8
gemma2-2b,12,7,3.58,baseline,best-of-n,all,number_theory,0.8
gemma2-2b,12,6,4.08,openmath,best-of-n,all,number_theory,0.8
gemma2-2b,16,5,4.0,baseline,best-of-n,all,prealgebra,0.8
gemma2-2b,16,6,3.88,openmath,best-of-n,all,prealgebra,0.8
gemma2-2b,14,1,4.71,baseline,best-of-n,all,precalculus,0.8
gemma2-2b,14,3,4.21,openmath,best-of-n,all,precalculus,0.8
gemma2-2b,75,23,4.09,baseline,best-of-n,all,all,0.9
gemma2-2b,75,28,3.96,openmath,best-of-n,all,all,0.9
gemma2-2b,8,5,2.88,baseline,best-of-n,1,all,0.9
gemma2-2b,8,4,3.12,openmath,best-of-n,1,all,0.9
gemma2-2b,16,5,4.19,baseline,best-of-n,2,all,0.9
gemma2-2b,16,7,3.88,openmath,best-of-n,2,all,0.9
gemma2-2b,19,8,3.79,baseline,best-of-n,3,all,0.9
gemma2-2b,19,10,3.37,openmath,best-of-n,3,all,0.9
gemma2-2b,18,5,4.17,baseline,best-of-n,4,all,0.9
gemma2-2b,18,7,4.22,openmath,best-of-n,4,all,0.9
gemma2-2b,14,0,5.0,baseline,best-of-n,5,all,0.9
gemma2-2b,14,0,5.0,openmath,best-of-n,5,all,0.9
gemma2-2b,15,7,3.6,baseline,best-of-n,all,algebra,0.9
gemma2-2b,15,8,3.13,openmath,best-of-n,all,algebra,0.9
gemma2-2b,9,4,3.67,baseline,best-of-n,all,counting_&_probability,0.9
gemma2-2b,9,4,3.89,openmath,best-of-n,all,counting_&_probability,0.9
gemma2-2b,3,1,4.33,baseline,best-of-n,all,geometry,0.9
gemma2-2b,3,1,3.67,openmath,best-of-n,all,geometry,0.9
gemma2-2b,15,1,4.73,baseline,best-of-n,all,intermediate_algebra,0.9
gemma2-2b,15,3,4.73,openmath,best-of-n,all,intermediate_algebra,0.9
gemma2-2b,9,6,3.11,baseline,best-of-n,all,number_theory,0.9
gemma2-2b,9,5,4.0,openmath,best-of-n,all,number_theory,0.9
gemma2-2b,13,3,4.38,baseline,best-of-n,all,prealgebra,0.9
gemma2-2b,13,4,4.08,openmath,best-of-n,all,prealgebra,0.9
gemma2-2b,11,1,4.64,baseline,best-of-n,all,precalculus,0.9
gemma2-2b,11,3,4.0,openmath,best-of-n,all,precalculus,0.9
gemma2-9b,500,181,1.0,baseline,greedy,all,all,0.0
gemma2-9b,500,179,1.0,openmath,greedy,all,all,0.0
gemma2-9b,43,26,1.0,baseline,greedy,1,all,0.0
gemma2-9b,43,29,1.0,openmath,greedy,1,all,0.0
gemma2-9b,90,49,1.0,baseline,greedy,2,all,0.0
gemma2-9b,90,49,1.0,openmath,greedy,2,all,0.0
gemma2-9b,105,50,1.0,baseline,greedy,3,all,0.0
gemma2-9b,105,50,1.0,openmath,greedy,3,all,0.0
gemma2-9b,128,35,1.0,baseline,greedy,4,all,0.0
gemma2-9b,128,34,1.0,openmath,greedy,4,all,0.0
gemma2-9b,134,21,1.0,baseline,greedy,5,all,0.0
gemma2-9b,134,17,1.0,openmath,greedy,5,all,0.0
gemma2-9b,124,72,1.0,baseline,greedy,all,algebra,0.0
gemma2-9b,124,66,1.0,openmath,greedy,all,algebra,0.0
gemma2-9b,38,12,1.0,baseline,greedy,all,counting_&_probability,0.0
gemma2-9b,38,11,1.0,openmath,greedy,all,counting_&_probability,0.0
gemma2-9b,41,9,1.0,baseline,greedy,all,geometry,0.0
gemma2-9b,41,8,1.0,openmath,greedy,all,geometry,0.0
gemma2-9b,97,15,1.0,baseline,greedy,all,intermediate_algebra,0.0
gemma2-9b,97,18,1.0,openmath,greedy,all,intermediate_algebra,0.0
gemma2-9b,62,27,1.0,baseline,greedy,all,number_theory,0.0
gemma2-9b,62,28,1.0,openmath,greedy,all,number_theory,0.0
gemma2-9b,82,38,1.0,baseline,greedy,all,prealgebra,0.0
gemma2-9b,82,36,1.0,openmath,greedy,all,prealgebra,0.0
gemma2-9b,56,8,1.0,baseline,greedy,all,precalculus,0.0
gemma2-9b,56,12,1.0,openmath,greedy,all,precalculus,0.0
gemma2-9b,201,85,1.0,baseline,greedy,all,all,0.1
gemma2-9b,201,78,1.0,openmath,greedy,all,all,0.1
gemma2-9b,19,13,1.0,baseline,greedy,1,all,0.1
gemma2-9b,19,15,1.0,openmath,greedy,1,all,0.1
gemma2-9b,39,21,1.0,baseline,greedy,2,all,0.1
gemma2-9b,39,22,1.0,openmath,greedy,2,all,0.1
gemma2-9b,52,25,1.0,baseline,greedy,3,all,0.1
gemma2-9b,52,23,1.0,openmath,greedy,3,all,0.1
gemma2-9b,43,16,1.0,baseline,greedy,4,all,0.1
gemma2-9b,43,11,1.0,openmath,greedy,4,all,0.1
gemma2-9b,48,10,1.0,baseline,greedy,5,all,0.1
gemma2-9b,48,7,1.0,openmath,greedy,5,all,0.1
gemma2-9b,52,32,1.0,baseline,greedy,all,algebra,0.1
gemma2-9b,52,29,1.0,openmath,greedy,all,algebra,0.1
gemma2-9b,19,8,1.0,baseline,greedy,all,counting_&_probability,0.1
gemma2-9b,19,7,1.0,openmath,greedy,all,counting_&_probability,0.1
gemma2-9b,15,3,1.0,baseline,greedy,all,geometry,0.1
gemma2-9b,15,2,1.0,openmath,greedy,all,geometry,0.1
gemma2-9b,32,9,1.0,baseline,greedy,all,intermediate_algebra,0.1
gemma2-9b,32,10,1.0,openmath,greedy,all,intermediate_algebra,0.1
gemma2-9b,24,11,1.0,baseline,greedy,all,number_theory,0.1
gemma2-9b,24,9,1.0,openmath,greedy,all,number_theory,0.1
gemma2-9b,28,17,1.0,baseline,greedy,all,prealgebra,0.1
gemma2-9b,28,15,1.0,openmath,greedy,all,prealgebra,0.1
gemma2-9b,31,5,1.0,baseline,greedy,all,precalculus,0.1
gemma2-9b,31,6,1.0,openmath,greedy,all,precalculus,0.1
gemma2-9b,171,71,1.0,baseline,greedy,all,all,0.2
gemma2-9b,171,64,1.0,openmath,greedy,all,all,0.2
gemma2-9b,16,11,1.0,baseline,greedy,1,all,0.2
gemma2-9b,16,13,1.0,openmath,greedy,1,all,0.2
gemma2-9b,32,18,1.0,baseline,greedy,2,all,0.2
gemma2-9b,32,18,1.0,openmath,greedy,2,all,0.2
gemma2-9b,40,17,1.0,baseline,greedy,3,all,0.2
gemma2-9b,40,16,1.0,openmath,greedy,3,all,0.2
gemma2-9b,38,15,1.0,baseline,greedy,4,all,0.2
gemma2-9b,38,10,1.0,openmath,greedy,4,all,0.2
gemma2-9b,45,10,1.0,baseline,greedy,5,all,0.2
gemma2-9b,45,7,1.0,openmath,greedy,5,all,0.2
gemma2-9b,44,27,1.0,baseline,greedy,all,algebra,0.2
gemma2-9b,44,23,1.0,openmath,greedy,all,algebra,0.2
gemma2-9b,16,7,1.0,baseline,greedy,all,counting_&_probability,0.2
gemma2-9b,16,6,1.0,openmath,greedy,all,counting_&_probability,0.2
gemma2-9b,14,3,1.0,baseline,greedy,all,geometry,0.2
gemma2-9b,14,2,1.0,openmath,greedy,all,geometry,0.2
gemma2-9b,29,8,1.0,baseline,greedy,all,intermediate_algebra,0.2
gemma2-9b,29,8,1.0,openmath,greedy,all,intermediate_algebra,0.2
gemma2-9b,19,9,1.0,baseline,greedy,all,number_theory,0.2
gemma2-9b,19,7,1.0,openmath,greedy,all,number_theory,0.2
gemma2-9b,23,14,1.0,baseline,greedy,all,prealgebra,0.2
gemma2-9b,23,12,1.0,openmath,greedy,all,prealgebra,0.2
gemma2-9b,26,3,1.0,baseline,greedy,all,precalculus,0.2
gemma2-9b,26,6,1.0,openmath,greedy,all,precalculus,0.2
gemma2-9b,151,64,1.0,baseline,greedy,all,all,0.3
gemma2-9b,151,61,1.0,openmath,greedy,all,all,0.3
gemma2-9b,14,10,1.0,baseline,greedy,1,all,0.3
gemma2-9b,14,13,1.0,openmath,greedy,1,all,0.3
gemma2-9b,28,16,1.0,baseline,greedy,2,all,0.3
gemma2-9b,28,17,1.0,openmath,greedy,2,all,0.3
gemma2-9b,37,15,1.0,baseline,greedy,3,all,0.3
gemma2-9b,37,15,1.0,openmath,greedy,3,all,0.3
gemma2-9b,33,13,1.0,baseline,greedy,4,all,0.3
gemma2-9b,33,9,1.0,openmath,greedy,4,all,0.3
gemma2-9b,39,10,1.0,baseline,greedy,5,all,0.3
gemma2-9b,39,7,1.0,openmath,greedy,5,all,0.3
gemma2-9b,39,23,1.0,baseline,greedy,all,algebra,0.3
gemma2-9b,39,21,1.0,openmath,greedy,all,algebra,0.3
gemma2-9b,14,6,1.0,baseline,greedy,all,counting_&_probability,0.3
gemma2-9b,14,5,1.0,openmath,greedy,all,counting_&_probability,0.3
gemma2-9b,12,2,1.0,baseline,greedy,all,geometry,0.3
gemma2-9b,12,2,1.0,openmath,greedy,all,geometry,0.3
gemma2-9b,22,8,1.0,baseline,greedy,all,intermediate_algebra,0.3
gemma2-9b,22,8,1.0,openmath,greedy,all,intermediate_algebra,0.3
gemma2-9b,18,9,1.0,baseline,greedy,all,number_theory,0.3
gemma2-9b,18,7,1.0,openmath,greedy,all,number_theory,0.3
gemma2-9b,22,13,1.0,baseline,greedy,all,prealgebra,0.3
gemma2-9b,22,12,1.0,openmath,greedy,all,prealgebra,0.3
gemma2-9b,24,3,1.0,baseline,greedy,all,precalculus,0.3
gemma2-9b,24,6,1.0,openmath,greedy,all,precalculus,0.3
gemma2-9b,134,57,1.0,baseline,greedy,all,all,0.4
gemma2-9b,134,56,1.0,openmath,greedy,all,all,0.4
gemma2-9b,14,10,1.0,baseline,greedy,1,all,0.4
gemma2-9b,14,13,1.0,openmath,greedy,1,all,0.4
gemma2-9b,25,13,1.0,baseline,greedy,2,all,0.4
gemma2-9b,25,15,1.0,openmath,greedy,2,all,0.4
gemma2-9b,33,15,1.0,baseline,greedy,3,all,0.4
gemma2-9b,33,15,1.0,openmath,greedy,3,all,0.4
gemma2-9b,27,11,1.0,baseline,greedy,4,all,0.4
gemma2-9b,27,7,1.0,openmath,greedy,4,all,0.4
gemma2-9b,35,8,1.0,baseline,greedy,5,all,0.4
gemma2-9b,35,6,1.0,openmath,greedy,5,all,0.4
gemma2-9b,33,20,1.0,baseline,greedy,all,algebra,0.4
gemma2-9b,33,19,1.0,openmath,greedy,all,algebra,0.4
gemma2-9b,11,5,1.0,baseline,greedy,all,counting_&_probability,0.4
gemma2-9b,11,4,1.0,openmath,greedy,all,counting_&_probability,0.4
gemma2-9b,10,1,1.0,baseline,greedy,all,geometry,0.4
gemma2-9b,10,2,1.0,openmath,greedy,all,geometry,0.4
gemma2-9b,20,7,1.0,baseline,greedy,all,intermediate_algebra,0.4
gemma2-9b,20,7,1.0,openmath,greedy,all,intermediate_algebra,0.4
gemma2-9b,18,9,1.0,baseline,greedy,all,number_theory,0.4
gemma2-9b,18,7,1.0,openmath,greedy,all,number_theory,0.4
gemma2-9b,21,12,1.0,baseline,greedy,all,prealgebra,0.4
gemma2-9b,21,11,1.0,openmath,greedy,all,prealgebra,0.4
gemma2-9b,21,3,1.0,baseline,greedy,all,precalculus,0.4
gemma2-9b,21,6,1.0,openmath,greedy,all,precalculus,0.4
gemma2-9b,121,50,1.0,baseline,greedy,all,all,0.5
gemma2-9b,121,51,1.0,openmath,greedy,all,all,0.5
gemma2-9b,14,10,1.0,baseline,greedy,1,all,0.5
